Enum Type Name	Enum Values
tp_land_builtup_type	;Commercial;Defence Establishments;Educational Areas;Industrial Areas;Institutional;Medical;Mixed;Other;Recreational;Residential;Residential Individual;Rural;Unknown;
tp_land_circle_name	;Aska;Berhampur;Bhanjarnagar;City Circle;Jeypore;Rayagada;Unknown;
tp_land_city_name	;Unknown;
tp_land_construction_type	;Completed;Not Available;Under Construction;Unknown;
tp_land_corridor_type	;Concrete;Kaccha;Other;Paver Block;Tar;Unknown;
tp_land_district_name	;Unknown;
tp_land_division_name	;Aska-1;Aska-2;Berhampur Division-1;Berhampur Division-2;Berhampur Division-3;Bhanjanagar;Boudh;Ganjam North;Ganjam South;Gunupur;Hinjilicut;Jeypore;Koraput;Malkangiri;Nawarangpur;Paralakhemundi;Phulbani;Purushottampur;Rayagada;Unknown;
tp_land_importance	;High;Low;Medium;Not avaliable;Unknown;
tp_land_locality_name	;Unknown;
tp_land_non_builtup_type	;Caves;Cemetry;Graveyard;Hills;Marshy Land;Mines;Open Space;Others;Play Ground;Stadium;Unknown;
tp_land_number	;1;2;3;4;5;Unknown;
tp_land_obstacle_type	;Bridge;Divider;Flyover;Others;Over Bridges;Over head Foot Ways;Railway Level Crossing;Railway Under Bridges;Subways;Subways Under Rail tracks;Unknown;Water Tank;
tp_land_owner	;MTNL;Unknown;
tp_land_pincode	;760010;760011;Unknown;
tp_land_property	;No;Owned;Rented;Unknown;
tp_land_road_type	;Arterial Road;Expressway;Major Road;Minor Road;National Highway;Others;State Highway;Unknown;
tp_land_section_name	;Adava;Ambapua;Aska Road-ESO1;Aska-1;B Singipur;Badagada;Baipariguda;Balimela;Balipadar;Balisira;Balliguda;Bandhugaon;Baunsuni;Beguniapada;Belaguntha;Bhanjanagar-ESO1;Bhanjanagar-ESO2;Bhejiput;Bisama Cuttack;Bomakei;Boriguma;Boudh;Budhamba;Buguda;Chandahandi;Chandragiri;Chatrapur-1;Chatrapur-2;Chikiti;Chirikipada;City Hospital-Bijipur;Dabugam;Daringibadi;Dharakote;Digapahandi;G Udayagiri;Gandhinagar;Ganjam;Garabandha;Gate Bazar-ESO3;Golanthara;Gopalpur;Gosaninuagam;Gudari;Gumma;Gumuda;Gunupur;Gunupur Rural;Head Quarter;Hinjilicut;J K Pur;J N Prasad;Jagapur;Jeypore-1;Jeypore-2;Jeypore-3;Jharigam;K B Pur;Kabisuryanagar;Kakiriguma;Kalimela;Kanchuru;Kanisi;Kanteipally;Kasinagar;Kasipur;Keshpur;Khajuripada-Phulbani;Khajuripada-R Udaygiri;Khallikote;Kodala;Konkarada;Koraput-1;Koraput-2;Kosagumuda;Kotpad;Kukudakhandi;Kundra;Lanjipally;Lathi;Laxmipur;Luchapada;Malkangiri;Malud;Manamunda;Mathili;Medical;Mohana;Muniguda;Nandapur;Nawarangpur;Nawarangpur Rural;Nuagam-1;Nuagam-2;Nuapada;Old Berhampur-ESO2;Padmapur;Papadahandi;Paralakhemundi Rural;Paralakhemundi Town;Patrapur;Pattangi;Pattapur;Phiringia;Phulbani;Pitala;Polosara;Pudamari;Purunakatak;Purushottampur;R Udaygiri;Raighar;Raikia;Rambha;Ramnaguda;Randhapalli;Rayagada;Rayagada rural;Rayagada-1;Rayagada-2;Sheragada;Sikarpai;Similiguda;Soroda;Sunabeda;Surangi;T Khunti;Taratarini;Therubali;Tikabali;Tilisingi;Tumudibandha;Umerkote;University;Unknown;Upalada;
tp_land_slum_type	;Electrified;Non Electrified;Not Avaliable;Redevelopment;Unknown;
tp_land_subdivision_name	;Aska;Balimela;Balliguda;Bellaguntha;Bhanjanagar-1;Bhanjanagar-2;Bijipur-Industrial;Bisama Cuttack;Boriguma;Boudh;Buguda;Chatrapur;Chikiti;Digapahandi;G Udayagiri;Gopalpur;Gumuda;Gunupur;Hinjilicut;JESD-1;JESD-2;Kabisuryanagar;Kanisi;Kasinagar;Khallikote;Kodala;Koraput;Laxmipur;Malkangiri;Manmunda;Mohana;Nawarangpur;Nuagam;Papadahandi;Paralakhemundi;Phulbani;Polasara;Purushottampur;R Udaygiri;Rambha;Rayagada;SDO-1;SDO-2;SDO-3;SDO-4;Sheragada;Sorada;Sunabeda;Therubali;Umarkote;Unknown;Uppalada;
tp_land_sublocality_name	;Unknown;
tp_land_surface_type	;Concerte;Kaccha;Not Available;Others;Paver Black;Tar;Tile;Unknown;
tp_land_telecom_type	;Cellular Tower;Handhole;Not Avaliable;Others;Radio Tower;Telecome Junction box;Telecome pole;Unknown;
tp_land_tpsodl_building_type	;Bill Collection Counter;CRC Office;Circle Office;Corporate Office;Division Office;Energy Police Station;Fusecall Center;GRF Office;IT Infra;Others;Section Office;Sub Division Office;Substation;Unknown;
tp_land_transit_type	;Air Port;Bus Depot;Bus Stop;Other;Parking;Railway Area;Railway Station;Road Area;Taxi Stand;Terminal;Unknown;
tp_land_type	;Acquired;Government Transfer;Leased;Licenced;Purchased;Unknown;
tp_land_utility_subtype	;Bill Collection Counter;CRC Office;Circle Office;Corporate Office;Division Office;Energy Police Station;Fusecall Center;IT Infra;Manhole;Other Uitility Feeder pillar;Other Uitility Feeder pole;Others;Overhead tank;Section Office;Sub Division Office;Unknown;
tp_land_utility_type	;Electricity;Gas;Oil;Unknown;Water;
tp_land_ward_name	;Unknown;
tp_landmark_subtype	;ATM;Ashrams;Auditorium;Bank;Blood Banks;Buddha Vihar;Chemists;Church;Cinema Theatre;Clinic;Club/Pub;College;Courier-Logistics;Court;Embassies;Fire Station;Forts;Government Buildings;Gurudwara;Gymnasium;Halls & Auditorium;Health Centre;Historical Places;Hospital;Hostels and Messes;Hotel;Insurance Company;Jail;Jain Mandir;Library;Loan;Mosque;Municipal Ward Offices;Museums;NGO/UN/World Bank;Nursing Homes;Other Institutes;Parks;Pathology Labs;Petrol Pump;Police Station/Chowki;Post Offices;Research Institute;Restaurants;Sanctuary;School;Shopping Mall;Stadium;Super Bazaar;Telephone Exchange;Temple;Tombs;Tourist Office;Traffic Chowki;Trauma Centre;University;Unknown;Zoological Park;
tp_landmark_type	;Educational;Emergency & Public Services;Entertainment;Finance;Healthcare;Hotel;Shopping;Transport;Unknown;Worship;
tp_road_surface_type	;Concrete;Kaccha;Other;Paver Block;Tar;Unknown;
tp_street_segment_type	;Arterial Road;Expressway;Major Road;Minor Road;National Highway;Others;State Highway;Unknown;
wunits_descr	10*Nanometre;100*Nanometre;Centimetre;Decimetre;Hectometre;Kilometre;Metre;Micrometre;Millimetre;Nanometre;
